threshold,symbol,return,label_ternary,label_binary
0.0025,SO,-0.004679590285667588,DOWN,DOWN
0.0025,LOW,0.019307790038382115,UP,UP
0.0025,MCD,-0.018801833540920652,DOWN,DOWN
0.0025,FCX,0.06933787749301965,UP,UP
0.0025,DLR,0.03987000175883098,UP,UP
0.0025,BAC,0.03599669537278797,UP,UP
0.0025,META,0.04227698001146892,UP,UP
0.0025,LIN,-0.011429196523001076,DOWN,DOWN
0.0025,INTC,-0.06700793622124321,DOWN,DOWN
0.0025,TT,0.08451225129353357,UP,UP
0.0025,XOM,0.0040650582397982245,UP,UP
0.0025,COF,0.03678033593713083,UP,UP
0.0025,V,0.011653798076035792,UP,UP
0.0025,PLTR,-0.12046535054624728,DOWN,DOWN
0.0025,PWR,0.0999009041776273,UP,UP
0.0025,ABNB,0.010079832097953031,UP,UP
0.0025,PLD,0.01837935861950435,UP,UP
0.0025,ABBV,0.03375263519129419,UP,UP
0.0025,LMT,0.008181933286048486,UP,UP
0.0025,WELL,0.01630322733130687,UP,UP
0.0025,AMD,0.01764345787173304,UP,UP
0.0025,CSCO,0.04845819353720522,UP,UP
0.0025,JNJ,-0.004793982313617198,DOWN,DOWN
0.0025,SCHW,0.00594467019665149,UP,UP
0.0025,MS,0.014449340023048284,UP,UP
0.0025,ETN,-0.006464298219624532,DOWN,DOWN
0.0025,C,0.017557780400089536,UP,UP
0.0025,GOOGL,0.01682585431602375,UP,UP
0.0025,PFE,0.03210418670304901,UP,UP
0.0025,SYK,0.011310522852059333,UP,UP
0.0025,SPGI,0.025846363244309715,UP,UP
0.0025,BLK,0.023288905846344896,UP,UP
0.0025,UBER,-0.025399047636825538,DOWN,DOWN
0.0025,PM,0.024373875043034298,UP,UP
0.0025,SPG,-0.0615957543921185,DOWN,DOWN
0.0025,GS,0.019294624761465443,UP,UP
0.0025,PG,-0.03741019733530079,DOWN,DOWN
0.0025,TJX,0.0178485024100103,UP,UP
0.0025,HWM,0.06819172966979718,UP,UP
0.0025,ECL,0.03296661620487266,UP,UP
0.0025,AXP,-0.006365683552756032,DOWN,DOWN
0.0025,ISRG,0.022249706925167558,UP,UP
0.0025,AMZN,-0.0011566836184704085,FLAT,
0.0025,WMB,-0.024430811352449636,DOWN,DOWN
0.0025,MO,0.009967260423929761,UP,UP
0.0025,DE,0.03782920964826082,UP,UP
0.0025,AAPL,-0.03736168747193257,DOWN,DOWN
0.0025,BA,0.06060786725191864,UP,UP
0.0025,MAR,0.018967166916251593,UP,UP
0.0025,EQIX,0.0014173339176313873,FLAT,
0.0025,SHW,0.047953038699380925,UP,UP
0.0025,AVGO,0.08643077753239278,UP,UP
0.0025,AMT,0.04746804519906199,UP,UP
0.0025,COST,-0.060694338744689214,DOWN,DOWN
0.0025,AMGN,-0.009021138534563617,DOWN,DOWN
0.0025,MSFT,0.07625368013233445,UP,UP
0.0025,CVX,0.01643918109171778,UP,UP
0.0025,GE,0.0051669300315539115,UP,UP
0.0025,NEM,-0.03159783317092257,DOWN,DOWN
0.0025,DUK,0.0181365149425457,UP,UP
0.0025,NEE,0.00945384144906637,UP,UP
0.0025,AEP,0.0,FLAT,
0.0025,MA,-0.0026092546988597223,DOWN,DOWN
0.0025,LRCX,0.06249067842629378,UP,UP
0.0025,KLAC,-0.037541399230315416,DOWN,DOWN
0.0025,APD,0.003947064074885328,UP,UP
0.0025,UNP,-0.01970149427681512,DOWN,DOWN
0.0025,FDX,-0.06449775283788882,DOWN,DOWN
0.0025,UNH,-0.2237966587638529,DOWN,DOWN
0.0025,JPM,0.040024613798096985,UP,UP
0.0025,GEV,0.030729476491620028,UP,UP
0.0025,TXN,0.0655931521290452,UP,UP
0.0025,PH,0.008362869364984312,UP,UP
0.0025,SBUX,-0.05657048268776157,DOWN,DOWN
0.0025,NFLX,0.015292426142407783,UP,UP
0.0025,HD,0.028424246635933893,UP,UP
0.0025,TMO,-0.007107866571192419,DOWN,DOWN
0.0025,BKNG,0.03871276143436437,UP,UP
0.0025,GILD,-0.028073558405927103,DOWN,DOWN
0.0025,ORCL,-0.0309831383234626,DOWN,DOWN
0.0025,WMT,-0.06528851712742266,DOWN,DOWN
